Date,Product,Category,Region,Sales,Revenue,Margin (%),Channel
2024-11-26,Lodówka Samsung,AGD,Włochy,8,22144.4,7.42,Sklep Stacjonarny
2024-12-20,Kurtka zimowa,Odzież,Polska,9,22946.09,10.9,Sklep Stacjonarny
2024-02-21,Samsung Galaxy S22,Elektronika,Hiszpania,23,37845.79,29.09,Sklep Stacjonarny
2024-05-23,Lodówka Samsung,AGD,Włochy,48,68005.61,21.4,Partner B2B
2024-03-30,Pralka LG,AGD,Polska,29,53114.19,22.55,Sklep Online
2024-03-26,Mikrofalówka Sharp,AGD,Włochy,37,100273.8,24.98,Sklep Stacjonarny
2024-03-31,Pralka LG,AGD,Francja,4,3468.83,7.5,Partner B2B
2024-11-20,Zmywarka Bosch,AGD,Hiszpania,8,23496.92,14.68,Sklep Online
2024-03-16,Buty sportowe,Odzież,Niemcy,46,110540.62,11.57,Sklep Online
2024-10-17,Samsung Galaxy S22,Elektronika,Włochy,41,24297.23,17.99,Sklep Stacjonarny
2024-08-10,MacBook Pro,Elektronika,Włochy,33,77146.98,29.36,Sklep Online
2024-11-14,Spodnie jeans,Odzież,Polska,37,39963.01,10.55,Partner B2B
2024-03-29,Tablet Lenovo,Elektronika,Hiszpania,48,28033.33,12.57,Sklep Stacjonarny
2024-08-27,iPhone 14,Elektronika,Francja,23,48059.4,20.62,Sklep Online
2024-06-06,Słuchawki Sony,Elektronika,Niemcy,33,14772.68,10.42,Sklep Stacjonarny
2024-03-27,Słuchawki Sony,Elektronika,Polska,25,68317.6,25.37,Sklep Online
2024-11-22,T-shirt basic,Odzież,Polska,33,39742.09,26.87,Partner B2B
2024-12-21,Pralka LG,AGD,Niemcy,33,47978.86,15.51,Partner B2B
2024-08-17,Tablet Lenovo,Elektronika,Polska,40,2746.13,24.4,Partner B2B
2024-04-01,Samsung Galaxy S22,Elektronika,Hiszpania,29,3774.76,21.54,Sklep Stacjonarny
2024-03-30,MacBook Pro,Elektronika,Hiszpania,30,21866.92,18.36,Partner B2B
2024-04-13,Buty sportowe,Odzież,Polska,47,116059.93,7.14,Sklep Online
2024-07-14,Spodnie jeans,Odzież,Hiszpania,9,18597.27,21.38,Sklep Online
2024-05-23,MacBook Pro,Elektronika,Francja,7,20052.49,12.61,Sklep Stacjonarny
2024-10-13,Samsung Galaxy S22,Elektronika,Niemcy,17,22593.38,7.83,Partner B2B
2024-08-06,Mikrofalówka Sharp,AGD,Polska,12,33415.69,14.58,Sklep Online
2024-05-16,Samsung Galaxy S22,Elektronika,Niemcy,32,41730.15,12.06,Sklep Online
2024-01-17,MacBook Pro,Elektronika,Polska,23,53688.91,22.77,Sklep Online
2024-04-14,T-shirt basic,Odzież,Francja,38,35969.12,24.47,Sklep Online
2024-05-05,T-shirt basic,Odzież,Hiszpania,24,66436.31,27.08,Sklep Stacjonarny
2024-05-26,Tablet Lenovo,Elektronika,Włochy,3,3637.67,24.94,Sklep Online
2024-11-19,Buty sportowe,Odzież,Włochy,38,99036.65,25.47,Sklep Stacjonarny
